Senior management occupations [A0] ,"chief executive officer (CEO) - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,chief executive officer (CEO) - manufacturing company
Senior management occupations [A0] ,"chief financial officer (CFO) - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,chief financial officer (CFO) - urban transit system
Senior management occupations [A0] ,"chief operating officer - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,construction general manager
Senior management occupations [A0] ,"corporate controller - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"corporate controller, logging company"
Senior management occupations [A0] ,"deputy chief executive officer - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,electric power company president
Senior management occupations [A0] ,"engineering vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"executive director - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"executive vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,executive vice-president - railway
Senior management occupations [A0] ,feed and flour mills general manager
Senior management occupations [A0] ,"finance and administration vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"finance vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,finance vice-president - mining company
Senior management occupations [A0] ,gas distribution general manager
Senior management occupations [A0] ,"general manager - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"general manager, trucking company"
Senior management occupations [A0] ,highway construction general manager
Senior management occupations [A0] ,"human resources and organizational development vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"human resources vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,hydro-electric power station president
Senior management occupations [A0] ,"information systems vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,manufacturing company chief executive officer
Senior management occupations [A0] ,marketing vice-president - airline
Senior management occupations [A0] ,"marketing vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,operations vice-president - electric power company
Senior management occupations [A0] ,"operations vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"personnel vice-president - goods production, utilities, transportation and construction"
Senior management occupations [A0] ,"planning vice-president - goods production, utilities, transportation and construction"
